,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RENCANA PROYEKSI PENERIMAAN LAYANAN 2023 - 2027 (BLU),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MENURUT KELOMPOK PARAMETER PENGUJIAN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No,,Parameter Pengujian,HPP BLU (Rp),Tarif LPPT UGM,Tarif Pengujian UII,Tarif Balabkes     Dinkes DIY,Tarif BBTKLPP DIY,Tarif PP 54 Th 2021 (Rp),,,2024,,2025,,2026,,2027,,,Tarif Pesaing,,,,,,,,
,,,,,,,,,,,,Sampel (bh),Rp,Sampel (bh),Rp,Sampel (bh),Rp,Sampel (bh),Rp,Asumsi Growth /tahun ,BPIPI SIDOHARJO,"Unit Pengelola Pengujian dan Inspeksi, Sertifikasi Produk Perindustrian, Perdagangan, Koperasi Usaha Kecil dan Menengah DKI Jakarta",LAB.BAN TUV Rheinland Indonesia,Pusat Penelitian Karet (LP – Puslit Karet),BBBBT,Balai Pengujian Mutu Barang Jakarta,BBTKLPP DIY,BBKFK,PT. Mutuagung Lestari Jawa Barat
,1,,KULIT,,-,,,,,,,,"66,900,000",,"80,280,000",,"100,350,000",,"100,350,000",,,,,,,,,,
,,,Organoleptis,"21,263",-,-,,,"41,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Penyamakan,"37,805",-,-,,,"34,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Penyerapan air,"32,176",-,-,,,"41,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Ketebalan,"18,052",-,-,,,"34,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,"34,000",,,,,,,,
,,,Kekuatan tarik & perpanjangan putus,"192,373",-,-,,,"34,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,"41,000",,,,,,,,
,,,Kekuatan sobek,"188,873",-,-,,,"109,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Ketahanan retak & letup,"165,998",-,-,,,"61,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Temperatur Pengerutan,,-,-,,"  2,000 ","41,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,Kimia,,pH,"69,763",15000,"  10,000 ","  22,000 ","  10,000 ","41,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,Kimia,,Kadar abu,"69,570",60000,-,"  52,000 ",,"41,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,Kimia,,Kadar minyak lemak,,-,"  126,000 ","  65,000 ","  32,000 ","68,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Bahan mudah menguap (kadar air),"79,693",278000,-,"  52,000 ",,"89,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Kadar krom oksida,"113,325",-,"  105,000 ","  42,500 ","  20,000 ","89,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Ketahanan bengkung,"166,435",-,-,,,"34,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,"55,000",,,,,,,,
,,,Permeabilitas uap air,"131,435",-,-,,,"137,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Kelemasan,"60,115",-,-,,,"150,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Ketahanlunturan warna terhadap penggosokan,"96,372",-,-,,,"150,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,"150,000",,,,,,,,
,,,Formaldehid Bebas,"146,788",-,-,,,"41,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,Kimia,,Krom VI,"256,154",-,-,,,"105,000",,,100,"66,900,000",120,80280000,150,100350000,150,100350000,5.0%,"105,000",,,,,,,,
,,,Kekuatan jahit,"188,873",-,-,,,"109,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Ketahanan bengkuk 20.000 kali,"166,435",-,-,,,"27,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Taber abrasion,"73,608",-,-,,,"55,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Massa jenis,,-,-,,,"34,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Massa per unit area,,-,-,,,"34,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Perpanjangan putus,"192,373",-,-,,,"34,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,"Kemuluran, melintang","192,373",-,-,,,"34,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Warna,"21,263",-,-,"  42,000 ","  7,000 ","41,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Kelepasan Nerf,,-,-,,,"13,700",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Elastisitas,,-,-,,,"3,400",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,
,2,,KARET,,-,,,,,,,,0,,0,,#REF!,,#REF!,,,,,,,,,,
,,,Kekuatan sobek,"202,243",-,-,,,"120,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,"150,000",,,,,
,,,Kekuatan rekat dengan bahan tekstil,"118,136",,,,,"48,000",,,,,,,,,,,,,,,,,,,,
,,,Kekuatan tarik & perpanjangan putus,"204,193",-,-,,,"120,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,"150,000",,,,,
,,,Kekerasan (IRHD),"65,315",-,-,,,"30,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Pengusangan,,-,-,,,,,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,24 jam,"343,451",,,,,"49,000",,,,,,,,,,,,,,,,,,,,
,,,48 jam,"595,350",,,,,,,,,,,,,,,,,,,,,,,,,
,,,72 jam,"847,249",,,,,,,,,,,,,,,,,,,,,,,,,
,,,168 jam,"1,854,846",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Perpanjangan tetap, suhu lab","66,187",,,,,"120,000",,,,,,,,,,,,,,,,,,,,
,,,"Perpanjangan tetap, suhu oven",,-,-,,,"120,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,24 jam,"346,086",,,,,,,,,,,,,,,,,,,,,,,,,
,,,72 jam,"849,885",,,,,,,,,,,,,,,,,,,,,,,,,
,,,168 jam,"1,857,481",,,,,,,,,,,,,,,,,,,,,,,,,
,,,Compression set suhu lab,"79,565",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Compreesion set, suhu oven",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24 jam,"423,016",,,,,,,,,,,,,,,,,,,,,,,,,
,,,72 jam,"926,814",,,,,,,,,,,,,,,,,,,,,,,,,
,,,168 jam,"1,934,411",,,,,,,,,,,,,,,,,,,,,,,,,
,,,Berat jenis,"84,553",-,-,,,"30,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,"50,000",,,,,
,,,Ketahanan kikis,"199,869",-,-,,,"55,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,"300,000",,,,,
,,,Kekerasan,"65,315",-,-,,,"30,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,"50,000",,,,,
,,,"Perubahan perpanjangan putus (Aging 70°C , 3 hari)","1,015,891",-,-,,,"120,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,"Perubahan kekuatan tarik (Aging 70°C , 3 hari)","1,015,891",-,-,,,"120,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,"Perubahan kekerasan (Aging 70°C , 3 hari)","849,013",-,-,,,"30,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Modulus,"204,193",-,-,,,"50,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Top cover – ply 1 (Sifat Fisis-Kekuatan rekat),"201,752",-,-,,,"48,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Ply 1 – ply 2 (Sifat Fisis-Kekuatan rekat),"201,752",-,-,,,"48,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
